Name,Input Lag,Aspect Ratio,Audible Noise,Brightness,Contrast,Length,Width,Height,Resolution Width,Resolution Height,Volume,Weight,Price,Release Date,3D,Technology
LG HF80JA Laser Smart Home Theater,67,1.7777777777777777,30.0,2000,150000.0,33,32,20,1920,1080,21.58,2.1,1497.0,3/30/2017,False,DLP
BenQ MH741,33,1.7777777777777777,36.0,4000,10000.0,22,31,11,1920,1080,7.71,3.3,849.0,10/1/2015,True,DLP
BenQ HT1070A,33,1.7777777777777777,34.0,2200,15000.0,24,33,10,1920,1080,7.95,2.6,620.0,9/25/2017,False,DLP
Acer H6502BD,33,1.7777777777777777,31.0,3400,20000.0,21,31,9,1920,1080,5.6,2.4,500.0,10/17/2016,True,DLP
ViewSonic LS830,49,1.7777777777777777,,4500,100000.0,39,51,17,1920,1080,32.88,10.0,2999.0,9/1/2016,True,DLP
Philips PicoPix PPX4010,17,1.7777777777777777,28.0,100,1500.0,7,7,2,854,480,0.1,0.1,249.0,9/1/2015,False,DLP
*,70,1.7777777777777777,,1400,150000.0,22,13,8,1920,1080,2.45,1.5,999.0,,False,DLP
BenQ HT8050,65,1.7777777777777777,26.0,2200,50000.0,56,47,22,3840,2160,59.75,14.8,7999.0,2/24/2017,False,DLP
Optoma ML750ST,16,1.6,22.0,700,20000.0,11,10,4,1280,800,0.42,0.4,537.0,1/1/2016,True,DLP
Optoma EH515,50,1.7777777777777777,,5500,10000.0,34,42,16,1920,1080,23.28,5.9,1799.0,10/1/2015,True,DLP
*,33,1.7777777777777777,33.0,3200,10000.0,32,43,17,1920,1080,22.69,2.0,613.0,,True,DLP
NEC M353WS,33,1.6,,3500,10000.0,29,37,13,1280,800,14.49,3.7,989.0,9/2/2015,True,DLP
LG PH550,34,1.7777777777777777,,550,100000.0,11,18,4,1280,720,0.83,0.6,449.0,3/1/2016,True,DLP
Optoma HD28DSE,50,1.7777777777777777,29.0,3000,30000.0,22,31,11,1920,1080,8.05,2.6,699.0,9/2/2015,True,DLP
ViewSonic PJD6352,49,1.3333333333333333,32.0,3500,22000.0,23,32,10,1024,768,7.47,2.3,529.0,4/15/2016,True,DLP
Canon REALiS WUX450ST D,19,1.6,37.0,4500,2000.0,41,34,14,1920,1200,18.99,6.3,6184.0,4/1/2016,False,LCS
Canon REALiS WUX6500 D,18,1.6,43.0,6500,2000.0,37,38,17,1920,1200,23.79,8.5,5574.0,3/20/2017,False,LCS
ViewSonic PG800W,16,1.6,,5000,5000.0,31,47,14,1280,800,20.68,6.2,1129.0,11/8/2017,True,DLP
Canon XEED WUX6500,18,1.6,43.0,6500,2000.0,37,38,17,1920,1200,23.79,8.5,,3/20/2017,False,LCS
*,33,1.6,,800,2000.0,13,21,8,1280,800,2.24,1.1,559.0,,False,DLP
ViewSonic PA503S,16,1.3333333333333333,,3600,22000.0,22,29,11,800,600,7.05,2.2,299.0,7/15/2017,True,DLP
Optoma ZU850,63,1.6,32.0,8000,2000000.0,53,48,20,1920,1200,49.64,23.0,11199.0,1/1/2017,True,DLP
Casio XJ-V2,33,1.3333333333333333,,3000,20000.0,27,27,9,1024,768,6.45,2.9,675.0,12/1/2015,False,DLP
ViewSonic PA503W,16,1.6,,3600,22000.0,22,29,11,1280,800,7.05,2.2,399.0,7/15/2017,True,DLP
*,33,1.7777777777777777,31.0,3000,10000.0,23,33,14,1920,1080,10.42,3.0,600.0,,True,DLP
ViewSonic PA503X,16,1.3333333333333333,,3600,22000.0,22,29,11,1024,768,7.05,2.2,349.0,7/15/2017,True,DLP
Casio XJ-F210WN,33,1.6,,3500,20000.0,30,30,10,1280,800,8.67,3.8,1050.0,4/25/2016,False,DLP
Epson Pro LS10000,56,1.7777777777777777,,1500,10000100.0,55,55,22,1920,1080,68.37,18.0,7999.0,11/20/2014,False,LCD
Vivitek DH765Z-UST,49,1.7777777777777777,31.0,4000,12000.0,38,46,13,1920,1080,22.7,10.5,3900.0,3/15/2017,True,DLP
InFocus IN119HDx,33,1.7777777777777777,32.0,3200,15000.0,22,29,12,1920,1080,7.71,2.4,559.0,n/a,True,DLP
ViewSonic Pro8530HDL,16,1.7777777777777777,33.0,5200,5000.0,32,50,14,1920,1080,21.94,6.3,1799.0,6/1/2016,True,DLP
ViewSonic LS800HD,16,1.7777777777777777,,5000,100000.0,44,36,16,1920,1080,25.37,11.0,2999.0,1/10/2018,True,DLP
ViewSonic PX800HD,16,1.7777777777777777,,2000,100000.0,39,43,15,1920,1080,25.77,6.1,1299.0,3/29/2017,True,DLP
*,66,1.7777777777777777,39.0,5000,15000.0,37,47,14,1920,1080,23.58,8.8,5999.0,,False,DLP
Optoma ZU510T-W,82,1.6,35.0,5500,300000.0,41,40,13,1920,1200,20.65,11.0,3599.0,11/15/2016,True,DLP
Acer P6500,50,1.7777777777777777,35.0,5000,20000.0,29,37,12,1920,1080,12.68,4.5,1169.0,3/1/2016,True,DLP
ViewSonic LS820,50,1.7777777777777777,,3500,100000.0,39,51,17,1920,1080,32.88,10.0,2799.0,9/1/2016,True,DLP
ViewSonic PJD5553LWS,33,1.6,32.0,3200,20000.0,23,32,10,1280,800,7.47,2.5,529.0,2/2/2016,True,DLP
*,34,1.7777777777777777,36.0,3500,25000.0,31,38,12,1920,1080,14.3,4.8,1299.0,,True,DLP
*,33,1.6,32.0,3300,20000.0,23,32,10,1280,800,7.47,2.1,430.0,,True,DLP
Dell S518WL Laser Short Throw,33,1.6,,3200,20000.0,30,39,11,1280,800,13.34,5.5,1129.0,9/13/2017,True,DLP
NEC V302H,33,1.7777777777777777,35.0,3000,8000.0,25,32,10,1920,1080,8.19,2.9,782.0,5/1/2015,True,DLP
Epson Home Cinema 3900,28,1.7777777777777777,35.0,2700,120000.0,30,41,16,1920,1080,19.63,6.6,2100.0,9/14/2016,True,LCD
Optoma ZU510T-B,82,1.6,35.0,5500,300000.0,41,40,13,1920,1200,20.65,11.0,3599.0,3/5/2017,True,DLP
Dell 4350,33,1.7777777777777777,37.0,4000,2200.0,25,32,9,1920,1080,7.7,3.0,932.0,12/1/2015,True,DLP
*,33,1.7777777777777777,29.0,2600,20000.0,26,29,12,1920,1080,9.44,3.5,1405.0,,True,DLP
ViewSonic PS750HD,17,1.7777777777777777,,3000,10000.0,39,43,15,1920,1080,25.77,6.1,1799.0,10/18/2017,True,DLP
Hitachi LP-WU3500,60,1.6,,3500,30000.0,45,47,13,1920,1200,28.38,14.5,3786.0,12/16/2016,False,DLP
Optoma ZW300UST,33,1.6,32.0,3200,22000.0,32,38,13,1280,800,15.37,5.6,1799.0,4/1/2017,True,DLP
*,46,1.7777777777777777,35.0,2300,60000.0,32,41,16,1920,1080,21.28,6.8,1193.0,,True,LCD
Optoma HD142x,33,1.7777777777777777,,3000,23000.0,23,30,9,1920,1080,6.39,2.5,549.0,7/5/2016,True,DLP
Optoma UHD60,56,1.7777777777777777,28.0,3000,1000000.0,33,50,15,3840,2160,25.06,7.3,1799.0,6/21/2017,False,DLP
Optoma UHZ65,80,1.7777777777777777,33.0,3000,2000000.0,33,50,15,3840,2160,25.06,9.3,4499.0,10/4/2017,True,DLP
Epson Home Cinema 5040UB,28,1.7777777777777777,31.0,2500,1000000.0,45,52,19,1920,1080,45.2,11.0,2759.0,8/21/2016,True,LCD
Epson Home Cinema 2150,28,1.7777777777777777,37.0,2500,60000.0,28,31,12,1920,1080,10.75,3.5,866.0,8/22/2017,True,LCD
Sony VPL-VW285ES,36,1.9,26.0,1500,,46,50,20,4096,2160,44.91,14.0,4999.0,9/7/2017,True,SXRD
Sony VPL-HW45ES,22,1.7777777777777777,22.0,1800,120000.0,46,41,18,1920,1080,33.82,9.0,1998.0,6/15/2016,True,SXRD
BenQ HT2050,33,1.7777777777777777,29.0,2200,15000.0,28,38,12,1920,1080,12.78,3.3,699.0,10/30/2015,True,DLP
BenQ HT2150ST,16,1.7777777777777777,29.0,2200,15000.0,28,38,12,1920,1080,12.78,3.6,899.0,8/1/2016,True,DLP
Optoma UHD65,74,1.7777777777777777,28.0,2200,1200000.0,33,50,15,3840,2160,25.06,7.3,2299.0,6/15/2017,False,DLP
Epson Home Cinema 1060,52,1.7777777777777777,37.0,3100,15000.0,25,30,9,1920,1080,6.5,2.7,616.0,8/22/2017,False,LCD
Epson Home Cinema 4000,28,1.7777777777777777,31.0,2200,140000.0,45,52,19,1920,1080,45.2,11.0,1799.0,6/26/2017,True,LCD
BenQ HT2050A,16,1.7777777777777777,29.0,2200,15000.0,28,38,12,1920,1080,12.86,3.3,749.0,2/5/2018,True,DLP
Epson Home Cinema 3700,28,1.7777777777777777,35.0,3000,70000.0,30,41,16,1920,1080,19.63,6.9,1500.0,9/14/2016,True,LCD
Optoma HD39Darbee,33,1.7777777777777777,28.0,3500,32000.0,22,31,11,1920,1080,8.05,2.8,899.0,10/4/2017,True,DLP
